Iso3,StartDate,EndDate,Area Code,Area Code (M49),Area,Item Code,Item,Element Code,Element,Months Code,Months,Year Code,Year,Unit,Value,Flag,Note
#country+code,#date+start,#date+end,,,#country+name,#indicator+code,#indicator+name,,,,,,#date+year,#indicator+type,#indicator+value+num,,
IDN,2020-02-01,2020-02-29,101,'360,Indonesia,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7002,February,2020,2020,,121.608717,X,base year is 2015
IDN,2021-02-01,2021-02-28,101,'360,Indonesia,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7002,February,2021,2021,,123.997663,X,base year is 2015
IDN,2022-02-01,2022-02-28,101,'360,Indonesia,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7002,February,2022,2022,,127.069165,X,base year is 2015
IDN,2023-02-01,2023-02-28,101,'360,Indonesia,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7002,February,2023,2023,,136.283670,X,base year is 2015
IDN,2000-03-01,2000-03-31,101,'360,Indonesia,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7003,March,2000,2000,,27.593531,X,base year is 2015
IDN,2001-03-01,2001-03-31,101,'360,Indonesia,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7003,March,2001,2001,,29.287088,X,base year is 2015
IDN,2002-03-01,2002-03-31,101,'360,Indonesia,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7003,March,2002,2002,,33.026817,X,base year is 2015
IDN,2003-03-01,2003-03-31,101,'360,Indonesia,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7003,March,2003,2003,,33.458893,X,base year is 2015
IDN,2004-03-01,2004-03-31,101,'360,Indonesia,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7003,March,2004,2004,,34.581308,X,base year is 2015
IDN,2005-03-01,2005-03-31,101,'360,Indonesia,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7003,March,2005,2005,,37.397280,X,base year is 2015
IDN,2006-03-01,2006-03-31,101,'360,Indonesia,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7003,March,2006,2006,,43.803984,X,base year is 2015
IDN,2007-03-01,2007-03-31,101,'360,Indonesia,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7003,March,2007,2007,,49.048544,X,base year is 2015
IDN,2008-03-01,2008-03-31,101,'360,Indonesia,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7003,March,2008,2008,,55.728404,X,base year is 2015
IDN,2009-03-01,2009-03-31,101,'360,Indonesia,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7003,March,2009,2009,,61.817262,X,base year is 2015
IDN,2010-03-01,2010-03-31,101,'360,Indonesia,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7003,March,2010,2010,,64.360070,X,base year is 2015
IDN,2011-03-01,2011-03-31,101,'360,Indonesia,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7003,March,2011,2011,,73.115902,X,base year is 2015
IDN,2012-03-01,2012-03-31,101,'360,Indonesia,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7003,March,2012,2012,,76.453348,X,base year is 2015
IDN,2013-03-01,2013-03-31,101,'360,Indonesia,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7003,March,2013,2013,,85.679103,X,base year is 2015
IDN,2014-03-01,2014-03-31,101,'360,Indonesia,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7003,March,2014,2014,,91.968696,X,base year is 2015
IDN,2015-03-01,2015-03-31,101,'360,Indonesia,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7003,March,2015,2015,,97.430094,X,base year is 2015
IDN,2016-03-01,2016-03-31,101,'360,Indonesia,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7003,March,2016,2016,,106.337095,X,base year is 2015
IDN,2017-03-01,2017-03-31,101,'360,Indonesia,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7003,March,2017,2017,,109.462359,X,base year is 2015
IDN,2018-03-01,2018-03-31,101,'360,Indonesia,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7003,March,2018,2018,,114.150255,X,base year is 2015
IDN,2019-03-01,2019-03-31,101,'360,Indonesia,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7003,March,2019,2019,,113.525202,X,base year is 2015
IDN,2020-03-01,2020-03-31,101,'360,Indonesia,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7003,March,2020,2020,,120.016087,X,base year is 2015
IDN,2021-03-01,2021-03-31,101,'360,Indonesia,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7003,March,2021,2021,,124.452701,X,base year is 2015
IDN,2022-03-01,2022-03-31,101,'360,Indonesia,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7003,March,2022,2022,,128.889314,X,base year is 2015
IDN,2023-03-01,2023-03-31,101,'360,Indonesia,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7003,March,2023,2023,,136.738708,X,base year is 2015
IDN,2000-04-01,2000-04-30,101,'360,Indonesia,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7004,April,2000,2000,,27.151517,X,base year is 2015
IDN,2001-04-01,2001-04-30,101,'360,Indonesia,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7004,April,2001,2001,,28.999032,X,base year is 2015
IDN,2002-04-01,2002-04-30,101,'360,Indonesia,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7004,April,2002,2002,,32.396077,X,base year is 2015
IDN,2003-04-01,2003-04-30,101,'360,Indonesia,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7004,April,2003,2003,,33.160907,X,base year is 2015
